,mmsi,lon,lat,date_time_utc,sog,cog,true_heading,nav_status,message_nr,source
250,Ship3,6959213.779423487,40724.21633259892,62,9.843,275,275,,3,
251,Ship4,6960328.308619247,42293.150288627796,62,7.497,39,39,,1,
252,Ship1,6959865.8632103605,41383.12078619314,63,10.149,222,222,,18,
253,Ship2,6959586.306550683,41249.927520411075,63,6.426,153,153,,2,
254,Ship3,6959214.638710122,40714.41091187972,63,9.843,275,275,,3,
255,Ship4,6960334.134434683,42297.86885657777,63,7.497,39,39,,1,
256,Ship1,6959858.440690098,41376.199197216745,64,10.149,222,222,,18,
257,Ship2,6959580.546529931,41252.77631610954,64,6.426,156,156,,2,
258,Ship3,6959215.4978577085,40704.605478976286,64,9.843,275,275,,3,
259,Ship4,6960339.960283696,42302.58738307243,64,7.497,39,39,,1,
260,Ship1,6959851.018171008,41369.27760698391,65,10.149,222,222,,18,
261,Ship2,6959574.675751754,41255.389253076726,65,6.426,158,158,,2,
262,Ship3,6959216.356879935,40694.800035089596,65,9.843,275,275,,3,
263,Ship4,6960345.786163767,42307.30587121947,65,7.497,39,39,,1,
264,Ship1,6959843.59565297,41362.35601562215,66,10.149,222,222,,18,
265,Ship2,6959568.7038691435,41257.76203500681,66,6.426,159,159,,2,
266,Ship3,6959217.215789139,40684.994581302104,66,9.843,275,275,,3,
267,Ship4,6960351.612072568,42312.024323893624,66,7.497,39,39,,1,
268,Ship1,6959836.173135878,41355.43442324603,67,10.149,223,223,,18,
269,Ship2,6959562.685958149,41260.01552635586,67,6.426,159,159,,2,
270,Ship3,6959218.074596446,40675.18911858946,67,9.843,275,275,,3,
271,Ship4,6960357.438007945,42316.742743754156,67,7.497,39,39,,1,
272,Ship1,6959828.791822787,41348.46890689265,68,10.149,223,223,,18,
273,Ship2,6959556.660888297,41262.249806838096,68,6.426,159,159,,2,
274,Ship3,6959218.933311886,40665.38364783108,68,9.843,275,275,,3,
275,Ship4,6960363.263967906,42321.46113326094,68,7.497,39,39,,1,
276,Ship1,6959821.451973623,41341.459711843425,69,10.149,224,224,,18,
277,Ship2,6959550.629171665,41264.46608084421,69,6.426,159,159,,2,
278,Ship3,6959219.791944501,40655.57816981963,69,9.843,275,275,,3,
279,Ship4,6960369.089950607,42326.179494689524,69,7.497,39,39,,1,
280,Ship1,6959814.153846846,41334.407084917824,70,10.149,224,224,,18,
281,Ship2,6959544.591281271,41266.66547975989,70,6.426,160,160,,2,
282,Ship3,6959220.650502443,40645.77268526964,70,9.843,275,275,,3,
283,Ship4,6960374.915954343,42330.89783014482,70,7.497,39,39,,1,
284,Ship1,6959806.897699451,41327.31127446473,71,10.149,224,224,,18,
285,Ship2,6959538.547654285,41268.84906599816,71,6.426,160,160,,2,
286,Ship3,6959221.508993063,40635.96719482519,71,9.843,275,275,,3,
287,Ship4,6960380.741977537,42335.616141573955,71,7.497,39,39,,1,
288,Ship1,6959799.683786954,41320.17253035368,72,10.149,225,225,,18,
289,Ship2,6959532.498694963,41271.01783687413,72,6.426,160,160,,2,
290,Ship3,6959222.367422987,40626.16169906686,72,9.843,275,275,,3,
291,Ship4,6960386.568018731,42340.3344307781,72,7.497,43,43,,1,
292,Ship1,6959792.512363383,41312.99110396605,73,10.149,225,225,,18,
293,Ship2,6959526.444777316,41273.17272831626,73,6.426,160,160,,2,
294,Ship3,6959223.225798189,40616.35619851802,73,9.843,275,275,,3,
295,Ship4,6960392.015009338,42345.48567357203,73,7.497,43,43,,1,
296,Ship1,6959785.383681269,41305.767248186225,74,10.149,225,225,,18,
297,Ship2,6959520.386247559,41275.31461841131,74,6.426,160,160,,2,
298,Ship3,6959224.084124055,40606.55069365046,74,9.843,275,275,,3,
299,Ship4,6960397.435979721,42350.664292027024,74,7.497,43,43,,1,
300,Ship1,6959778.297991641,41298.50121739267,75,10.149,226,226,,18,
301,Ship2,6959514.323426333,41277.444330782346,75,6.426,160,160,,2,
302,Ship3,6959224.942405441,40596.745184889485,75,9.843,275,275,,3,
303,Ship4,6960402.832730899,42355.8681449961,75,7.497,44,44,,1,
304,Ship1,6959771.255544011,41291.193267449016,76,10.149,226,226,,18,
305,Ship2,6959508.256610746,41279.562637801144,76,6.426,160,160,,2,
306,Ship3,6959225.800646726,40586.9396726185,76,9.843,275,275,,3,
307,Ship4,6960408.20695231,42361.09526210015,76,7.497,44,44,,1,
308,Ship1,6959764.256586369,41283.843655695,77,10.149,226,226,,18,
309,Ship2,6959502.186076228,41281.67026363741,77,6.426,160,160,,2,
310,Ship3,6959226.658851857,40577.134157183136,77,9.843,275,275,,3,
311,Ship4,6960413.560226452,42366.343829996964,77,7.497,44,44,,1,
312,Ship1,6959757.301365175,41276.452640937416,78,10.149,227,227,,18,
313,Ship2,6959496.1120782355,41283.767887148875,78,6.426,161,161,,2,
314,Ship3,6959227.517024392,40567.32863889497,78,9.843,275,275,,3,
315,Ship4,6960418.8940337645,42371.612179695876,78,7.497,44,44,,1,
316,Ship1,6959750.390125348,41269.02048344103,79,10.149,227,227,,18,
317,Ship2,6959490.034853808,41285.85614461662,79,6.426,161,161,,2,
318,Ship3,6959228.37516754,40557.52311803491,79,9.843,275,275,,3,
319,Ship4,6960424.209757661,42376.898774862355,79,7.497,45,45,,1,
320,Ship1,6959743.523110257,41261.547444919386,80,10.149,227,227,,18,
321,Ship2,6959483.954622986,41287.93563233087,80,6.426,161,161,,2,
322,Ship3,6959229.233284194,40547.71759485617,80,9.843,275,275,,3,
323,Ship4,6960429.508689595,42382.202201052634,80,7.497,45,45,,1,
324,Ship1,6959736.700561716,41254.0337885256,81,10.149,228,228,,18,
325,Ship2,6959477.871590122,41290.00690903287,81,6.426,161,161,,2,
326,Ship3,6959230.091376961,40537.91206958705,81,9.843,275,275,,3,
327,Ship4,6960434.792034106,42387.521155816445,81,7.497,45,45,,1,
328,Ship1,6959729.922719971,41246.47977884309,82,10.149,228,228,,18,
329,Ship2,6959471.785945072,41292.07049821866,82,6.426,161,161,,2,
330,Ship3,6959230.9494481925,40528.10654243335,82,9.843,275,275,,3,
331,Ship4,6960440.06091378,42392.85443960648,82,7.497,45,45,,1,
332,Ship1,6959723.189823695,41238.88568187626,83,10.149,228,228,,18,
333,Ship2,6959465.697864293,41294.12689031079,83,6.426,161,161,,2,
334,Ship3,6959231.807500008,40518.30101358061,83,9.843,275,275,,3,
335,Ship4,6960445.316374088,42398.200947434125,83,7.497,45,45,,1,
336,Ship1,6959716.502109979,41231.25176504114,84,10.149,229,229,,18,
